,Negative_reviews
0,"update it is not just youtube i cant get any video to play review this app was working great but i had to do a factory reset on my phone and after reinstalling this app it will not let me watch youtube videos i was able to do it right before i did the reset but now nothing ive tried all of the fixes i could think of and nothing please fix this thanks :  
"
1,"whenever i shuffle songs it doesnt pull from the whole library just from b also when i try and start from a point in m4a or ogg it skips around to predefined intervals untill this is fixed this mobile version is inferior to its desktop counterpart it still functions but at a fraction of the convenience and compatibility factor of its at home program :  
"
2,"strange behavior background media scanning is annoying lately i noticed a strange behavior in the vlc app the background media scan keeps running even though i disabled it yes i could disable the notification but i really dont think there should be any background activity in the first place 1 its annoying and 2 i dont want vlc to scan my files every night :  
"
3,"does not play youtube videosaudio properly many times will not play them at all how to recreate bug create playlist with 2 yt vids play the playlist on repeat wait until the bug shows up also there is no option to create proper stream based playlist with ability to name the tracks instead you get url for track names now it will not play yt videos at all :  
"
4,"the only music player for anyone who wants a decent equalizer slighty clumsier to setup playlists with since you have to queue all the songs and then create playlist from the queue rather than just being able to select a folder and make a playlist out of it occasionally it gets stuck for a split second while playing in the background its a memory and cpu hog too drains many times more battery than other music players clearly in need of optimization indexing is also a bit annoying :  
"
5,"i maintain the player worked better before the update that changed the video player ui whichever it wasafter that i havent been able to download a subtitle properly the player wont play most dual audio files or crashes with some encodeseven after many updates none of these issues have been fixed at least fix the subtitle thing its really annoying :  
"
6,"i love vlc and always have for watching movies on my phone but the fact that there is no way to use chromecast with subtitles makes it so i barely use this anymore i have hard of hearing family members that need subtitles in order to watch on the tv and its incredibly frustrating to cast my entire phone as its so slow i understand that this is an issue with how casting works in general but it makes vlc almost useless for me right now :  
"
7,"uninstalled scanning library everyday after exiting from fly mode even when its setup to not do it and a persistent notification keep showing and you are not able to remove itonly way to remove it is forcing to stop the app even when you didnt use the app best solutionremove the app from your android 10 until devs tell you its solved :  
"
8,"a few last version of the app is super slow at detecting new song the old version version 306 in 2018 and its previous version is better for you guys who still have the old version and you guys dont have any issues i suggest you guys to keep that version installed in your phone do not update :  
"
9,"would have been 5 stars but the network feature fails whenever my isp cuts my subscription now keep in mind that the files i am accessing are on the local wifi network they stay online as long as the machine im streaming from is on vlc however is unable to stream them if i have no active internet subscription how come :  
"
10,"fantastic computer became buggy and started randomly disabling bluetooth so this app gave me the power to transfer my music playlist to something that works equalizer is awesome no hitches when playing audio one thing id question is if theres a limit to audio length as some of my larger files took a couple downloads to work :  
"
11,"trying to stream a f king video url apparently it is refusing to do anything and the fact that the local network isnt detecting my wifi network is part of the problem uninstalled and reinstalled cleared cache and data still the same results what the hell does it take to get anything to work never had this issue and the fact that my phone is connected to wifi but cant stream is also bs :  
"
12,"guys everything was 5 stars but over the last 3 days whenever youre watching something in vlc and then you change tabs to something else and when you change back it doesnt work the app simply crashes and says vlc isnt available or this app isnt available and the problem persists after reinstalling as well i use s10 and update my apps on a 12 hour basis please check i use this app for everything related to video watching :  
"
13,"very glitchy when playing video files off of my external drive through an acer chromebook freezes often and for long periods sometimes audio starts back up after a while but pic still frozen sometimes it will resume if i minimize to taskbar then bring it back up and it plays from where the glitch began on my other laptop vlc for windows plays the same files from the same external drive so its definitely a google issue :  
"
14,"4 months now i cant pause my show while casting to chromecast without this app crashing i have to force stop it and clear the cache in order for it to even act right just to watch one show im using android oreo if this helps you guysand it still would be nice to use vlc from the computer to chromecast no matter which message board i try to find they all say it works for them and 50 other people say it doesnt :  
"
15,"ive only used it for audio but the program shuts down as soon as it is paused for too long or when another app is opened and the file if opened via an external program is not stored in the vlc play history yet if i reopen it externally in vlc half the time it starts from where it cut off only positives are that its nice to be able to jump to a certain time stamp set up a sleep timer and adjust the playback speed but the rest is bad enough that i will be uninstalling this app :  
"
16,"persistent loading notification on my oneplus 6t for the past month or so happens without opening the app have to force to temporarily get rid of it each time still my go to for casting from my phone to tv but has bugs if i pause a video theres a chance it wont start properly same with rewinding and fast forwarding :  
"
17,"this app has been working great so far especially when i have my bluetooth speakers connected to my phone but now since i updated this app when im watching my movies with my bluetooth speakers it wants to cut the audio out for a few seconds and then comes back on and it does it about every minute through the movie talk about a mood killer please fix this problem cause it really sucks having to watch a movie without my bluetooth speakers :  
"
18,"best free videomusic player out there i have an issue with the music genre tab some albums fall across multiple genres and usually players like windows media player and kodi will allow you to set a delim usually or kodi lets you set it i know media player reads however this player does not read the delimiters and just shows all genres on one line making this tab useless for me i have ocd and have my music catagorized please add support for dsd dff dsf :  
"
19,"i dunno what an app u have created one after the another bug keeps appearing successfully irritating the user screen freezes suddenly subtitle experience is horrible to the core could download one subtitle i tap on download option and it circles and nothing happens should i do the circus of downloading them externally and sync it tell me y shouldnt i jus switch to mx which is near to bug free hope u correct and revamp this app i like vlc thats the reason i keep trying using :  
"
20,"newest update is very disappointing no longer able to delete files unless there are multiple files with the same first 6 characters the fast forward function is different i end up hiding and unhiding the ui half a dozen times before finding the new spot where it will actually fast forward :  
"
21,"disappointed frustrating the brightness seems to be interacting with the videos lighting i think if the videos lighting is dark shot at night the apps brightness tends to also get dark and sometimes the apps brightness bounces from 100 to nothing at all to the point where i cant see anything i updated it to the latest version but alas nothing has changed ive been using vlc for many years now and this is the first time i encountered such thing fix this asap  :  
"
22,"i have this app solely to cast video and it doesnt really do that well at all volume control doesnt work meaning i have to use my tv remote instead of phone to change volume organisation of videos is clunky subtitles do not work i download them through the app and separently through a subtitle website and tried to add them still doesnt work also then doesnt cast the subtitles :  
"
23,"this app having anything other than 4 and 5 start reviews is nonsense open source plays just about anything on any gear you own occasionally has issues if you report them properly as opposed to whinging in a review with a loose it doesnt work they get fixed :  
"
