,Negative_reviews
0,"i like the app for the simplicity set up is easy and i was writing in minutes that said im disappointed that punctuation errorsespecially quotation marksare glitches in the app itself not the writer and arent corrected in published posts if theres spell check i cant find it :  
"
1,"wordpress was listed as the best blogging platform which is why i chose it for my business efforts instead of blogger which i was more familiar with its more intricate than blogger so more complicated but once you get the hang of it its awesome my jury is still out on the boxes tool :  
"
2,"its really buggy and it takes at least half a dozen tries to upload images i have to hit retry over and over so one simple post takes a stupid amount of time to upload its a necessary evil for my business and keeping a blog on my website current :  
"
3,"the application is cool i tried upgrading my free wordpress blog to premium plan but find it difficult to make payment even when i made use of paypal cant nigerians upgrade with paypal account because i dont have foriegn account or atm for transaction i have sent notifications to help support but no replies or response i might be forced to use another host and domain if i am unable to upgrade with wordpress kindly look into it thanks :  
"
4,"trying to start a new blog and its pretty frustrating my images wont upload my blog post i typed up wont upload and im just confused and feeling defeated not easy to use this app at all i may as well just create a new site from scratch :  
"
5,"its a great platform to write and publicize i still have to connect through facebook and my other social media sites its taking lot of time and still i am not connected :  
"
6,"tried the app a few years ago and it was pretty useless but the browser version had issues on my device recently so i thought id try the app again cant upload audio and a lot of other missing features i pay this company a lot of money and disappointed in this useless app :  
"
7,"this app is hanging soo much i wrote a blog for my college friends and wanted to attach photos but it iss sooo annoying that its jumbling everything exchanging the photos and sometimes repeating them all my efforts went in vain i am very very upset with this app :  
"
8,"this app is getting terrible day by day i try to star someones post and when i star it and refreshed it the star i gave has gone this happens every single time please do something before it ruins everyones blog :  
"
9,"while its a good to start my webpage and blog the word format blocks and picture resizing etc is confusing doesnt seem quick to adapt developer may want to improve to make it easier for novice :  
"
10,"ive been having issues with preview images not showing on social media like facebook and whatsapp whenever i share my blog post after viewing it doesnt work behave that way with web browser and also could you integrate the seo plugins to work directly from the mobile app that will really be useful :  
"
11,"im having trouble to making post on my site through mobile application im unable to upload photos in post especially feature photo drafted post not update on cloud whenever i try to upload drafted post on browser not available their :  
"
12,"this is the best app i have used so far my problem is that im struggling to upgrade my plan i have been trying to move from the free plan but i get errors all the time :  
"
13,"this not good and hard to understand its like using an ads page very confusing definitely there no user familiar ui is very bad :  
"
